,RTG1,RTG2,RTG3,BMH1,MKS1,CIT2
a1,0.2861,0.2847,0.2108,2.9294,0.2084,0.2666
b1,2.4216,7.4406,2.4531,221.3906,1.8381,1.8472
g1,174.1598,6324.6621,388.0073,123817.1063,523.5774,2593.8358
GOF1,0.0129,0.071,8.32e-05,0.266,2.14e-05,0.164
a2,0.2361,0.2493,0.1865,3.2938,0.182,0.2708
b2,4.4817,1.6106,4.7217,77.0496,2.2689,1.7023
g2,429.6977,585.6844,1752.7096,30239.6622,561.6311,1392.6927
GOF2,6.01e-06,0.0409,8.06e-06,0.394,6.54e-05,0.199
s1,76.1111,892.9776,168.2808,577.8343,302.7306,1467.0253
f1,0.2548,0.2737,0.1934,2.8902,0.1862,0.2319
d1,0.1098,0.0383,0.083,0.0132,0.1066,0.1295
s2,104.0886,382.6186,399.5815,404.9042,267.5858,847.9447
f2,0.2234,0.2148,0.1789,3.1583,0.1676,0.2327
d2,0.0537,0.1386,0.0405,0.0412,0.079,0.1402
Rs,0.4516,-1.2227,1.2476,-0.5131,-0.178,-0.7909
Rf,-0.1899,-0.3498,-0.1125,0.128,-0.1522,0.0049
Rd,-1.0334,1.8545,-1.0329,1.6464,-0.4313,0.1143
pSize,0.0,0.0,0.0,0.0,1.28e-16,0.0
pFreq,0.0,0.0,2.68e-16,2.49e-13,0.0,0.64
pDuty,0.0,0.0,0.0,0.0,0.0,2.1399999999999997e-15
p-value,0.233,0.00946,0.989,0.00296,0.0983,0.128
mu1,17.2068,221.9025,25.7976,1611.5946,47.8059,349.0069
cv1,1.8810,2.3586,2.6313,0.6272,2.1562,1.3991
mu2,18.0878,80.7769,50.7607,1239.5666,33.158,195.5971
cv2,2.9881,1.4707,3.6720,0.5688,3.0283,1.4094
