#GeneID,a1,b1,g1,GOF1,a2,b2,g2,GOF2,s1,f1,d1,s2,f2,d2,Rs,Rf,Rd,pSize,pFreq,pDuty,p-value,mu1,cv1,mu2,cv2
ERCC-00002,2.583,23.6623,39175.7205,0.468,2.2706,32.0032,64697.1241,0.384,1700.2257,2.3286,0.0988,2082.5273,2.1195,0.0666,0.2926,-0.1358,-0.5697,0.0,2.42e-15,0.0,0.411,3852.3831,0.6141,4287.7258,0.6923
ERCC-00003,0.5827,1.7882,933.4753,0.837,0.8644,40.919,14114.2858,0.326,538.3832,0.4372,0.2485,357.0185,0.8464,0.0212,-0.5926,0.9532,-3.5496,0.0,0.0,0.0,0.384,244.8168,0.8503,292.1688,1.2953
ERCC-00004,2.6401,37.0066,11689.3537,0.792,2.0335,36.9599,17289.2057,0.873,326.8691,2.4656,0.0671,480.4559,1.9253,0.0526,0.5557,-0.3569,-0.3496,0.0,0.0,0.0,0.345,776.6287,0.5744,905.0418,0.7058
ERCC-00009,0.3429,1.8003,1577.5061,0.0814,0.2697,1.6263,2038.9261,0.0897,913.2717,0.2868,0.163,1306.96,0.2303,0.1454,0.5171,-0.3164,-0.1649,0.0,0.0,0.0,0.407,268.8058,1.0780,281.4002,1.4451
ERCC-00012,32.3159,285.549,0.4797,0.985,14.4247,593.8837,3.2498,0.988,0.0017,28.7959,0.1031,0.0051,14.0059,0.0252,1.6084,-1.0398,-2.0324,0.0,0.0,0.0,0.972,0.0335,6.2581,0.0, nan
ERCC-00014,35.8005,107.125,0.3199,1.0,33.1896,240.42,0.5786,1.0,0.0031,26.4265,0.2443,0.0024,28.6706,0.129,-0.3523,0.1176,-0.9215,5.269999999999999e-10,6.59e-20,0.0,1.0,0.0617,4.3713,0.0599,4.7702
ERCC-00016,19.1915,289.1891,0.5845,1.0,34.2641,282.4287,0.2899,1.0,0.002,17.823,0.0654,0.0011,30.4665,0.1098,-0.9582,0.7735,0.7472,0.0,0.0,0.0,1.0,0.0244,8.8882,0.017,7.7157
ERCC-00017,21.7218,190.8142,0.2494,0.986,10.3084,918.1254,173.2568,0.0,0.0015,19.4532,0.1087,0.1029,9.9255,0.0196,6.1258,-0.9708,-2.4728,0.0,0.0,0.0,0.999,0.0161,8.8882,0.0, nan
ERCC-00019,0.2161,3.0973,190.0732,2.12e-08,0.1921,5.7139,582.4589,7.8e-09,66.1099,0.2011,0.069,112.8491,0.1853,0.0355,0.7715,-0.1179,-0.9562,0.0,6.69e-18,0.0,1.0,9.3195,3.4491,12.6143,5.1787
ERCC-00022,0.2314,1.4033,345.4597,0.00514,0.219,1.9467,892.6599,0.0242,261.283,0.1974,0.1469,488.5343,0.1958,0.1059,0.9028,-0.0117,-0.4711,0.0,0.674,0.0,0.669,46.4422,1.7494,83.2825,1.9470
