n_S,ksV,ksD,k2I,k2M,kn2M,kBM,knBM,k13I,k13IV,k13ID,k3A_c,k3I_c,k3I_n,k13_c,kn13_c,k13_n,kn13_n,k1in,k1out,k3inA,k3outA,k3inI,k3outI
7,11.67245386,0.96520606,4.947912368,1604.150283,0.042542555,0.058955571,2.412620893,0.092293047,2484.263422,25.1353459,30.7030517,0.012479519,1.486962141,233.8066917,220.9151423,461.0270089,0.595848762,3.196651589,5967.990312,1.024908423,0.048990375,0.037957422,0.123308493
7,11.67245386,0.96520606,4.947912368,1604.150283,0.042542555,0.058955571,2.412620893,0.092293047,2484.263422,25.1353459,30.7030517,0.012479519,1.486962141,233.8066917,220.9151423,461.0270089,0.595848762,3.196651589,5967.990312,1.024908423,0.048990375,0.037957422,0.123308493
15,393.5553858,0.01586346,0.079918201,3536.520938,0.051692649,12.18214141,176.0981546,0.038084795,18.14467869,1089.874983,0.09009124,0.353425439,0.01030353,2143.004183,283.3309843,2475.328559,35.22621262,0.097083714,1.094658408,1.375775376,0.037922428,0.524908227,284.2623728
15,0.760287854,0.412401395,0.026595458,8.632839458,0.175586325,0.096831757,7959.439873,0.049133444,406.0287323,0.027794041,18.40356842,0.772062696,0.013160836,287.8988058,67.17413824,13.61547072,0.031057969,16.9922813,1351.592282,16.94771401,5.872964019,0.023745964,3.4955471
3,1.83832669,3.023804797,0.141257236,391.1488665,0.016170859,0.01155122,96.81958071,0.700797397,2059.512954,0.016691568,28.45006203,0.148198229,0.295117504,41.26706878,4405.068044,40.47129449,1269.963738,161.8562334,238.8216558,1.034897773,0.040014991,0.277018895,132.7357204
11,1.608249551,0.101483779,0.029718546,884.433567,5.022392745,1.064683686,7192.410754,1.535609288,2781.96186,122.517806,7.372954326,2.139674774,0.054475661,2.542545934,428.1327797,7.121869407,1.370945404,0.095662081,13.18098427,0.216287248,0.031341006,5.883332464,59.23950563
11,54.88364946,0.014274139,60.65465819,5.25966468,0.43438862,0.663187328,278.0674462,0.069858405,6671.809658,50.00640728,37.207259,331.0837254,4059.923914,708.6652249,4413.177514,1.790396396,0.123073776,0.039170133,2.440598232,91.97288055,0.309746448,0.010395965,2.17280625
11,0.030990966,0.094908108,0.233290878,946.988882,0.071235526,3.777877965,1085.245724,0.298804276,1316.959131,31.77958758,8.763717076,0.046089832,1.263740323,139.7415928,3998.302465,10.12074125,1.188595202,23.0858817,2634.221334,4.083689214,0.108107478,125.3169213,1015.338625
1,3.406259396,0.029587785,2.251167256,334.3592763,0.040325037,0.128926512,0.214891735,0.412788418,769.9640199,797.4290214,1.384380744,0.018489687,0.012776724,912.4705094,95.59055661,20.53300666,0.160565201,0.026248556,1.442478568,1289.46534,12.9634148,2.298122829,93.09095486
3,113.4625718,2.199205862,27.18886063,1256.350468,31.67299546,0.052713567,5.962908877,0.445298784,9037.907363,2774.411861,0.806324115,0.214706109,0.363074619,283.2355064,724.3251961,85.98986449,2.70507947,4.397503471,50.71115388,28.17382041,2.000914841,0.035388626,4861.133838
11,10.51054744,0.033175947,0.034928658,5779.226662,0.014594357,48.4893858,22.73073841,0.029325627,97.55840984,12.1918231,0.735422124,0.759350853,0.054343722,830.3425337,166.5919322,712.7640419,0.984178964,0.138578066,16.62403969,10.18450268,2.400713787,7.909322472,47.98142988
3,633.7587903,0.011901799,504.0142442,26.01596398,6.462989584,0.339630324,1612.104855,20.19458121,2319.048318,260.4823122,0.139599637,70.90020755,0.018868998,339.8773906,4261.181351,9097.770233,10.38962969,0.072974913,962.1408682,277.4001944,0.051824505,5.206711882,52.99570132
5,6114.348522,1.375493644,1.462217267,3526.018423,240.2010477,0.015703299,3600.811137,0.023679835,2409.826134,58.4249983,1.48578951,0.038022251,0.120855817,1205.711166,17.05960613,1723.858263,0.13983356,7.936603593,1652.490999,7994.76826,1315.733031,53.27530918,60.05693513
3,2377.511122,1.242836504,27.78644286,2923.38698,0.054073367,0.013062485,1.29230117,11.28990225,1410.533016,18.35701682,1.003816135,0.012987577,0.069331882,9905.344009,227.9889669,56.23683781,0.921241007,0.24074482,0.378419479,703.1905959,4.243418232,2.181354956,4750.601038
7,106.2508206,0.481359792,22.98958555,5338.07196,0.039403846,80.227734,320.6950921,0.077951039,1315.273298,1705.215262,0.345629784,0.215499017,0.037655145,3616.002088,3372.782048,4006.138628,0.413032418,0.239726067,4754.994976,228.6185971,4.905839043,49.37449522,7075.422674
9,0.01442788,0.011947439,2.478066319,344.7579365,0.292247491,0.034899347,1104.679242,0.017820853,11.20091912,26.59664054,0.060729908,0.015654473,0.025614392,30.26916275,21.12197863,2210.283054,43.12338843,1.810393879,75.53773238,37.66074514,0.338284051,50.1476539,152.0192117
3,2.622167267,0.679950252,4.601840711,10.24554166,0.779579496,0.042283622,7.947767953,0.010755455,795.5613264,353.0205899,2.930991032,1.274011514,1178.375649,118.2281107,310.66308,69.00499863,21.1942756,17.98244224,91.95181517,0.71971558,0.409057247,0.010723627,0.116752642
5,7.389256151,0.030770186,5.349743878,2668.300008,0.163939318,0.01710063,563.0377666,0.280380962,7065.73242,248.4179555,2.335040049,10.97384152,0.083000706,206.9122,1477.4194,8.796824132,5.802124934,10.81644503,20.02423566,2625.998888,233.2244937,0.212573849,64.11573387
3,3.321792194,0.028049974,9.041113674,252.2999982,1.296993095,0.025468771,3811.841745,0.396052388,7431.568075,28.88188583,0.04770628,0.01422241,0.02064222,677.2795799,2883.61673,10.56501629,0.145577705,0.037156949,1.629229084,933.9244441,20.57303199,0.024284699,9816.126413
7,6.145549548,0.250203531,457.4769899,406.0693399,0.119246171,0.015293572,2.342430468,0.038936374,1566.154564,52.26635986,4.798653058,2.477240301,0.010453248,620.6419823,9825.078365,1499.260857,32.8222809,0.945138593,1321.845565,15.70604453,0.095498004,0.011788053,0.141824957
